,0,1,2,3,4,5
51,#049,#543,,Venipede,Bug,Poison
52,#050,#544,,Whirlipede,Bug,Poison
53,#051,#545,,Scolipede,Bug,Poison
54,#052,#546,,Cottonee,Grass,Fairy
55,#053,#547,,Whimsicott,Grass,Fairy
56,#054,#548,,Petilil,Grass,
57,#055,#549,,Lilligant,Grass,
58,#056,#550,,Basculin,Water,
59,#056,#550,,Basculin,Water,
60,#057,#551,,Sandile,Ground,Dark
61,#058,#552,,Krokorok,Ground,Dark
62,#059,#553,,Krookodile,Ground,Dark
63,#060,#554,,Darumaka,Fire,
64,,#554,,Darumaka,Ice,
65,#061,#555,,Darmanitan,Fire,
66,#061,#555,,Darmanitan,Fire,Psychic
67,,#555,,Darmanitan,Ice,
68,,#555,,Darmanitan,Ice,Fire
69,#062,#556,,Maractus,Grass,
70,#063,#557,,Dwebble,Bug,Rock
71,#064,#558,,Crustle,Bug,Rock
72,#065,#559,,Scraggy,Dark,Fighting
73,#066,#560,,Scrafty,Dark,Fighting
74,#067,#561,,Sigilyph,Psychic,Flying
75,#068,#562,,Yamask,Ghost,
76,,#562,,Yamask,Ground,Ghost
77,#069,#563,,Cofagrigus,Ghost,
78,#070,#564,,Tirtouga,Water,Rock
79,#071,#565,,Carracosta,Water,Rock
80,#072,#566,,Archen,Rock,Flying
81,#073,#567,,Archeops,Rock,Flying
82,#074,#568,,Trubbish,Poison,
83,#075,#569,,Garbodor,Poison,
84,#076,#570,,Zorua,Dark,
85,,#570,,Zorua,Normal,Ghost
86,#077,#571,,Zoroark,Dark,
87,,#571,,Zoroark,Normal,Ghost
88,#078,#572,,Minccino,Normal,
89,#079,#573,,Cinccino,Normal,
90,#080,#574,,Gothita,Psychic,
91,#081,#575,,Gothorita,Psychic,
92,#082,#576,,Gothitelle,Psychic,
93,#083,#577,,Solosis,Psychic,
94,#084,#578,,Duosion,Psychic,
95,#085,#579,,Reuniclus,Psychic,
96,#086,#580,,Ducklett,Water,Flying
97,#087,#581,,Swanna,Water,Flying
98,#088,#582,,Vanillite,Ice,
99,#089,#583,,Vanillish,Ice,
100,#090,#584,,Vanilluxe,Ice,
101,#091,#585,,Deerling,Normal,Grass
102,#092,#586,,Sawsbuck,Normal,Grass
103,#093,#587,,Emolga,Electric,Flying
104,#094,#588,,Karrablast,Bug,
105,#095,#589,,Escavalier,Bug,Steel
106,#096,#590,,Foongus,Grass,Poison
107,#097,#591,,Amoonguss,Grass,Poison
108,#098,#592,,Frillish,Water,Ghost
109,#098,#592,,Frillish,Water,Ghost
110,#099,#593,,Jellicent,Water,Ghost
111,#099,#593,,Jellicent,Water,Ghost
112,#100,#594,,Alomomola,Water,
113,#101,#595,,Joltik,Bug,Electric
114,#102,#596,,Galvantula,Bug,Electric
115,#103,#597,,Ferroseed,Grass,Steel
116,#104,#598,,Ferrothorn,Grass,Steel
117,#105,#599,,Klink,Steel,
118,#106,#600,,Klang,Steel,
119,#107,#601,,Klinklang,Steel,
120,#108,#602,,Tynamo,Electric,
121,#109,#603,,Eelektrik,Electric,
122,#110,#604,,Eelektross,Electric,
123,#111,#605,,Elgyem,Psychic,
124,#112,#606,,Beheeyem,Psychic,
125,#113,#607,,Litwick,Ghost,Fire
126,#114,#608,,Lampent,Ghost,Fire
127,#115,#609,,Chandelure,Ghost,Fire
128,#116,#610,,Axew,Dragon,
129,#117,#611,,Fraxure,Dragon,
130,#118,#612,,Haxorus,Dragon,
131,#119,#613,,Cubchoo,Ice,
132,#120,#614,,Beartic,Ice,
133,#121,#615,,Cryogonal,Ice,
134,#122,#616,,Shelmet,Bug,
135,#123,#617,,Accelgor,Bug,
136,#124,#618,,Stunfisk,Ground,Electric
137,,#618,,Stunfisk,Ground,Steel
138,#125,#619,,Mienfoo,Fighting,
139,#126,#620,,Mienshao,Fighting,
140,#127,#621,,Druddigon,Dragon,
141,#128,#622,,Golett,Ground,Ghost
142,#129,#623,,Golurk,Ground,Ghost
143,#130,#624,,Pawniard,Dark,Steel
144,#131,#625,,Bisharp,Dark,Steel
145,#132,#626,,Bouffalant,Normal,
146,#133,#627,,Rufflet,Normal,Flying
147,#134,#628,,Braviary,Normal,Flying
148,,#628,,Braviary,Psychic,Flying
149,#135,#629,,Vullaby,Dark,Flying
150,#136,#630,,Mandibuzz,Dark,Flying
151,#137,#631,,Heatmor,Fire,
152,#138,#632,,Durant,Bug,Steel
153,#139,#633,,Deino,Dark,Dragon
154,#140,#634,,Zweilous,Dark,Dragon
155,#141,#635,,Hydreigon,Dark,Dragon
156,#142,#636,,Larvesta,Bug,Fire
157,#143,#637,,Volcarona,Bug,Fire
158,#144,#638,,Cobalion,Steel,Fighting
159,#145,#639,,Terrakion,Rock,Fighting
160,#146,#640,,Virizion,Grass,Fighting
161,#147,#641,,Tornadus,Flying,
162,#148,#642,,Thundurus,Electric,Flying
163,#149,#643,,Reshiram,Dragon,Fire
164,#150,#644,,Zekrom,Dragon,Electric
165,#151,#645,,Landorus,Ground,Flying
166,#152,#646,,Kyurem,Dragon,Ice
167,#153,#647,,Keldeo,Water,Fighting
168,#154,#648,,Meloetta,Normal,Psychic
169,#154,#648,,Meloetta,Normal,Fighting
170,#155,#649,,Genesect,Bug,Steel
